street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Donaufelder Straße,216.0,22,,,,2.0,betriebliche Nutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.437578824649517 48.25035795771185)
Philippovichgasse,1.0,19,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.351121673186125 48.23348945241685)
Arnoldgasse,3.0,21,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.395012897803273 48.259716494173226)
Weiglgasse,16.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.321057343161396 48.1871393018874)
Windmühlgasse,6.0,6,,1906.0,Alois Schützenberger,5.0,betriebliche Nutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.35774168151173 48.200215153861876)
Greinergasse,36.0,19,,1958.0,Steineder Hans,2.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,1946-1976,POINT (16.364963194594573 48.25944584048839)
Wilhelm-Exner-Gasse,14.0,9,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.35169490642609 48.2225936783567)
Cobenzlgasse,63.0,19,Feuerwache Grinzing,,,2.0,Sonstige,13.-Industriebauten,1919 - 1945,POINT (16.332839518684775 48.260947575347394)
Strohmayergasse,4.0,6,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.341075754913522 48.192323263247424)
Oelweingasse,4.0,15,,,,6.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.32934828436444 48.189557386141146)
Linzer Straße,301.0,14,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.271849645808956 48.198516668919076)
Straßergasse,59.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.335119384386154 48.256305448621724)
Kaasgrabengasse,1.0,19,,,,3.0,keine Angabe,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.340680131701475 48.24947119869187)
Franz-Jonas-Platz,3.0,21,,,,5.0,betriebliche Nutzung,11.-Einkaufszentren,nach 1945,POINT (16.39846745548105 48.25641697807573)
Fleschgasse,15.0,13,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.289535597245496 48.18984024349727)
Goldschmiedgasse,2.0,1,,1953.0,Becvar Josef F.,6.0,betriebliche Nutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1946-1976,POINT (16.371655190433525 48.20860804223291)
Starkfriedgasse,57.0,18,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.310281678346673 48.243782728054825)
Kollergerngasse,4.0,6,,1870.0,Kaiser,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1860-1883,POINT (16.35157537392916 48.19835122062947)
Raimundgasse,6.0,2,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.37528107331386 48.21922290075767)
Linke Wienzeile,56.0,6,Renaissancehof,1901.0,Modern Jakob,6.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.356888016672006 48.19693673736873)
Delugstraße,12.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.337739993036365 48.24948063033562)
Wipplingerstraße,36.0,1,Donauhof,1871.0,Dörfel Julius,5.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.365130710098754 48.21581154866673)
Matthias-Schönerer-Gasse,17.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.317204727033744 48.20148565095508)
An der Zwerchwiese,5.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.293365315887502 48.25260536449015)
Wenckebachgasse,35.0,19,,,,2.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.337045388873918 48.2533225125556)
Sieveringer Straße,142.0,19,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1860-1883,POINT (16.31958968468455 48.252235493743456)
Daringergasse,3.0,19,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.335242627344037 48.24739530499267)
Schleifmühlgasse,6.0,4,,1860.0,Smattosch,6.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.366293839880118 48.196718277137336)
